,0_freq,1_freq,2_freq,3_freq,4_freq,5_freq,6_freq,7_freq,8_freq,9_freq,area_total,area_delta,e
88,5,5,10,8,9,11,10,15,6,10,57.74,1.18,2.71828182845904523536028747135266249775724709369995957496696762772407663035354759457138217
89,5,5,10,8,9,11,10,15,7,10,59.58,1.84,2.718281828459045235360287471352662497757247093699959574966967627724076630353547594571382178
90,5,5,10,8,9,12,10,15,7,10,60.98,1.4,2.7182818284590452353602874713526624977572470936999595749669676277240766303535475945713821785
91,5,5,11,8,9,12,10,15,7,10,61.94,0.96,2.71828182845904523536028747135266249775724709369995957496696762772407663035354759457138217852
92,5,5,11,8,9,13,10,15,7,10,63.34,1.4,2.718281828459045235360287471352662497757247093699959574966967627724076630353547594571382178525
93,5,6,11,8,9,13,10,15,7,10,64.52,1.18,2.7182818284590452353602874713526624977572470936999595749669676277240766303535475945713821785251
94,5,6,11,8,9,13,11,15,7,10,66.58,2.06,2.71828182845904523536028747135266249775724709369995957496696762772407663035354759457138217852516
95,5,6,11,8,9,13,12,15,7,10,68.64,2.06,2.718281828459045235360287471352662497757247093699959574966967627724076630353547594571382178525166
96,5,6,11,8,10,13,12,15,7,10,70.18,1.54,2.7182818284590452353602874713526624977572470936999595749669676277240766303535475945713821785251664
97,5,6,12,8,10,13,12,15,7,10,71.21,1.03,2.71828182845904523536028747135266249775724709369995957496696762772407663035354759457138217852516642
98,5,6,12,8,10,13,12,16,7,10,72.61,1.4,2.718281828459045235360287471352662497757247093699959574966967627724076630353547594571382178525166427
99,5,6,12,8,11,13,12,16,7,10,74.15,1.54,2.7182818284590452353602874713526624977572470936999595749669676277240766303535475945713821785251664274
